score	insns	calls	indirect	branches	dispatch	cop1	cop2	distinct_mem	kind	addr	demangled	file
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e93d0	MicNull::GetSampleRate()	GetSampleRate__C7MicNull_0x3e93d0.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x110d48	Performer::GetSolo()	GetSolo__C9Performer_0x110d48.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x29fc18	OC3Ent::Face::FxRefString::GetString()	GetString__Q36OC3Ent4Face11FxRefString_0x29fc18.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e9340	MicNull::IsConnected()	IsConnected__C7MicNull_0x3e9340.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e84c0	Stream::IsPaused()	IsPaused__C6Stream_0x3e84c0.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3eb088	StreamNull::IsReady()	IsReady__C10StreamNull_0x3eb088.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e9338	MicNull::IsRunning()	IsRunning__C7MicNull_0x3e9338.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x23fff0	UIList::NumData()	NumData__C6UIList_0x23fff0.cpp
-8.95	3	0	0	0	0	0	0	0	accessor	0x318b28	BinStream::Name()	Name__C9BinStream_0x318b28.cpp
-8.6	2	0	0	0	0	1	0	0	accessor	0x3e9118	Synth::GetFXDelay(int)	GetFXDelay__C5Synthi_0x3e9118.cpp
-8.6	2	0	0	0	0	1	0	0	accessor	0x3e9130	Synth::GetFXFeedback(int)	GetFXFeedback__C5Synthi_0x3e9130.cpp
-8.6	2	0	0	0	0	1	0	0	accessor	0x3e9100	Synth::GetFXVolume(int)	GetFXVolume__C5Synthi_0x3e9100.cpp
-8.6	2	0	0	0	0	1	0	0	accessor	0x3e91a8	Synth::GetLevel(Synth::Level)	GetLevel__C5SynthQ25Synth5Level_0x3e91a8.cpp
